Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
1999-05-17,6.900135040283203,6.919593489535587,6.818407083051939,6.833974222510962,211600
1999-05-18,6.740570068359375,6.849540023275115,6.7288951911182755,6.8339728868585805,67600
1999-05-19,6.8339738845825195,6.872891731305654,6.728896173501425,6.795056037859384,561400
1999-05-20,6.911811828613281,6.935162544250488,6.810625394185385,6.810625394185385,295000
1999-05-21,7.02078104019165,7.059698895181627,6.896243904223728,6.942945330211699,430200
1999-05-24,6.853431224822998,7.121963811496728,6.853431224822998,7.051911708432826,620600
1999-05-25,6.826189994812012,7.02077921929354,6.826189994812012,6.865107839708317,902000
1999-05-26,7.02078104019165,7.044131753185636,6.880676762227737,6.919594617217713,129400
1999-05-27,6.810625076293945,7.067482936314174,6.810625076293945,6.974080078125,153400
1999-05-28,6.880678653717041,6.927380092543174,6.802842922340151,6.8261936417532185,215600
1999-06-01,6.841757774353027,6.865108483480512,6.728896488641578,6.865108483480512,843000
1999-06-02,6.919591903686523,6.935159039577832,6.868999187111057,6.868999187111057,64000
1999-06-03,6.942943572998047,7.0363464013343435,6.942943572998047,6.99742855619422,86600
1999-06-04,7.051913261413574,7.051913261413574,6.942943299316675,7.012995417807539,45000
1999-06-07,7.133644104003906,7.156994819646893,7.044132552300932,7.059699696062923,364600
1999-06-08,7.02078104019165,7.121967463165587,7.02078104019165,7.098616750171602,339600
1999-06-09,7.036348819732666,7.090833821655375,7.005214532919689,7.012998104622934,28800
1999-06-10,7.07526969909668,7.1064039992027155,7.005217523858098,7.067486124070171,244200
1999-06-11,7.129750728607178,7.160885011264851,7.083049304620668,7.114183587278341,163400
1999-06-14,7.192018032073975,7.207585170671537,7.10639876978738,7.160883754878849,542000
1999-06-15,7.281529426574707,7.30877144357204,7.164775889137454,7.207585044459753,302600
1999-06-16,7.207584381103516,7.316554339349142,7.184233675765167,7.316554339349142,457600
1999-06-17,7.215368270874023,7.238718977252256,7.145316151739324,7.160883289324813,128600
1999-06-18,7.228453636169434,7.291037650335403,7.204984630857195,7.259745643252418,119600
1999-06-21,7.060256481170654,7.212804471362543,7.001583516127415,7.212804471362543,175000
1999-06-22,6.985937595367432,7.028964564194211,6.970291598513305,6.978114596940368,502000
1999-06-23,7.040696144104004,7.071988126966688,7.013316136576921,7.040696144104004,523600
1999-06-24,6.923352241516113,6.9937592134637345,6.8881492330201395,6.9937592134637345,465000
1999-06-25,6.868592262268066,6.9233532484137115,6.852946266226453,6.9233532484137115,531000
1999-06-28,6.82556676864624,6.888150757562396,6.802097772802682,6.860769784933636,111200
1999-06-29,6.919443130493164,6.923354152536402,6.798186167857778,6.825567141984196,137400
1999-06-30,7.02114200592041,7.064168022488614,6.946823038726345,6.946823038726345,216000
1999-07-01,7.07589864730835,7.0876326609912645,7.0015797258136665,7.040694696348938,66400
1999-07-02,7.099369525909424,7.12283851449928,7.032873580760368,7.079811557940081,103200
1999-07-06,7.232363700866699,7.287124698772293,7.134575727128703,7.134575727128703,97600
1999-07-07,7.212803363800049,7.220626360940829,7.158042383814581,7.220626360940829,241200
1999-07-08,7.259743690490723,7.314504688156062,7.248009668469014,7.259743690490723,188600
1999-07-09,7.255827903747559,7.283207907123714,7.212800956356674,7.232358920158545,51400
1999-07-12,7.330146312713623,7.330146312713624,7.259739357735585,7.322323317716064,184400
1999-07-13,7.259743690490723,7.275389689823677,7.212805692491861,7.2675666901572,92400
1999-07-14,7.2714762687683105,7.314502275262594,7.220626310232486,7.271476268768311,37600
1999-07-15,7.337972164154053,7.3536181602396695,7.275388179811588,7.3184151465249405,66000
1999-07-16,7.291035175323486,7.314504172668948,7.244097180632562,7.283212176208332,54000
1999-07-19,7.263652324676514,7.283209337363505,7.204979376704391,7.275386341297594,49200
1999-07-20,7.071988582611084,7.244094499444539,7.071988582611083,7.236271503224836,36800
1999-07-21,7.150218963623047,7.154130939439834,7.009405023420404,7.025051016776254,81000
1999-07-22,7.044612407684326,7.056346430922883,6.935090400995945,7.017231428534175,107000
1999-07-23,7.079811096191406,7.1228380499443675,7.052431088766773,7.103280083250605,112600
1999-07-26,6.946822166442871,7.118928121016906,6.946822166442871,7.064167135470623,143600
1999-07-27,6.946822166442871,7.025052145794705,6.927265149082814,6.993760154053971,59400
1999-07-28,7.048520565032959,7.07198955692541,6.907706613678249,6.954644597463152,28400
1999-07-29,7.005492210388184,7.064164192985109,6.985934246218939,7.001580235572173,58800
1999-07-30,7.154131889343262,7.197157899306882,7.103281926707227,7.118927922140503,81200
1999-08-02,6.997674465179443,7.122842473903001,6.997674465179443,7.107196472812556,27000
1999-08-03,7.087634086608887,7.087634086608887,7.009404129803049,7.060254079204608,49000
1999-08-04,7.185427188873291,7.216719194148829,7.075905170408912,7.075905170408912,58200
1999-08-05,7.310591697692871,7.3223257165556275,7.220626748270132,7.240184719649068,117200
1999-08-06,7.298856258392334,7.384909226068985,7.283210264269306,7.35361723782293,80800
1999-08-09,7.474876880645752,7.474876880645753,7.341885882368566,7.384911904333165,203400
1999-08-10,7.431849479675293,7.4944334752936115,7.353619485152396,7.474876454140881,122800
1999-08-11,7.478785514831543,7.478785514831543,7.326237543000609,7.40837853822748,211800
1999-08-12,7.494429111480713,7.55310205068714,7.4318451523034215,7.4318451523034215,293600
1999-08-13,7.470961093902588,7.48660708572228,7.431846114353361,7.467050073425444,446800
1999-08-16,7.396647930145264,7.435762935183164,7.334063922084621,7.435762935183164,1744000
